Time(ms),Error
101.77373886108398,33
199.7382640838623,29
297.8379726409912,29
397.3233699798584,29
495.30482292175293,28
598.5078811645508,28
696.4740753173828,28
794.3387031555176,28
889.8370265960693,28
990.1621341705322,24
1104.1510105133057,24
1228.4340858459473,24
1328.8495540618896,24
1428.9698600769043,24
1531.3832759857178,24
1633.1264972686768,24
1733.5281372070312,23
1829.4808864593506,23
1926.9089698791504,22
2027.0419120788574,22
2129.394769668579,22
2228.3387184143066,21
2328.9005756378174,21
2428.6725521087646,21
2528.7959575653076,19
2630.93638420105,15
2729.3310165405273,15
2828.387498855591,15
2933.0286979675293,15
3078.5582065582275,15
3179.064989089966,15
3277.839183807373,14
3384.3061923980713,14
3536.010980606079,14
3653.6762714385986,12
3754.603862762451,12
3855.214834213257,12
3955.4615020751953,12
4055.966854095459,12
4155.0843715667725,11
4257.133960723877,11
4352.066993713379,11
4454.248428344727,11
4552.7379512786865,10
4653.195858001709,10
4752.809762954712,8
4853.414058685303,8
4952.276706695557,8
5050.2355098724365,7
5149.859189987183,7
5248.281478881836,7
5343.31202507019,7
5458.313941955566,7
5561.443090438843,7
5658.85066986084,6
5755.3229331970215,6
5853.26623916626,5
5951.355934143066,5
6048.709392547607,5
6147.642612457275,5
6245.667934417725,5
6339.40052986145,5
6442.264795303345,4
6541.251659393311,3
6646.441459655762,3
6742.748260498047,2
6842.950105667114,2
6944.440841674805,2
7042.442560195923,1
7142.101526260376,0
