Time(ms),Error
0.151293,19
0.275542,10
0.387646,8
0.502947,8
0.630225,8
0.762859,8
0.877596,7
0.985631,7
1.09205,7
1.19811,7
1.31343,7
1.44216,4
1.56634,4
1.698,4
1.82022,4
1.94209,4
2.06295,3
2.18709,3
2.31262,3
2.44101,3
2.56756,3
2.70919,3
2.83998,3
2.96777,0
