Cycle,Error
0,19
1,10
2,8
3,8
4,8
5,8
6,7
7,7
8,7
9,7
10,7
11,4
12,4
13,4
14,4
15,4
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,0
