Cycle,Error
0,15
1,15
2,15
3,15
4,15
5,15
6,15
7,14
8,14
9,13
10,13
11,13
12,13
13,13
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,9
24,8
25,7
26,6
27,6
28,5
29,5
30,5
31,5
32,3
33,3
34,3
35,3
36,3
37,2
38,2
39,1
40,1
41,0
