Time(ms),Error
0.118694,14
0.228642,9
0.334847,8
0.440507,8
0.545237,5
0.664754,5
0.770503,5
0.892892,5
1.01187,4
1.11824,4
1.22363,4
1.32841,4
1.4332,3
1.53718,3
1.64883,3
1.75143,3
1.85396,3
1.95611,3
2.05898,3
2.16772,3
2.26958,3
2.37234,3
2.47509,1
2.58109,1
2.6836,1
2.78626,1
2.88873,1
2.99207,1
3.09446,1
3.19669,1
3.29889,1
3.40067,1
3.50271,1
3.60744,1
3.70828,1
3.80924,0
