Cycle,Error
0,31
1,30
2,29
3,27
4,27
5,27
6,25
7,25
8,25
9,25
10,23
11,23
12,23
13,23
14,23
15,23
16,23
17,23
18,23
19,22
20,22
21,22
22,18
23,18
24,18
25,18
26,18
27,18
28,18
29,18
30,18
31,17
32,17
33,17
34,17
35,17
36,17
37,17
38,13
39,13
40,13
41,13
42,13
43,12
44,12
45,12
46,12
47,12
48,12
49,11
50,11
51,11
52,9
53,9
54,9
55,9
56,7
57,7
58,6
59,5
60,5
61,5
62,5
63,5
64,3
65,3
66,3
67,1
68,1
69,1
70,1
71,1
72,0
