Cycle,Error
0,19
1,16
2,16
3,13
4,13
5,13
6,13
7,12
8,12
9,12
10,12
11,12
12,11
13,11
14,11
15,11
16,11
17,11
18,10
19,8
20,8
21,8
22,8
23,8
24,7
25,6
26,6
27,6
28,4
29,4
30,4
31,4
32,4
33,3
34,3
35,2
36,2
37,1
38,1
39,0
